array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
5,serialMergeSort,1,0,0,582.054
5,parallelMergeSort,6,1,1048576,984086.594
5,openmpMergeSort,6,1,1048576,404375.128
10,serialMergeSort,1,0,0,1264.935
10,parallelMergeSort,6,1,1048576,2794621.152
10,openmpMergeSort,6,1,1048576,497817.355
50,serialMergeSort,1,0,0,5849.319
50,parallelMergeSort,6,1,1048576,3890820.041
50,openmpMergeSort,6,1,1048576,453480.842
100,serialMergeSort,1,0,0,11307.767
100,parallelMergeSort,6,1,1048576,5288691.574
100,openmpMergeSort,6,1,1048576,460337.936
500,serialMergeSort,1,0,0,55993.879
500,parallelMergeSort,6,1,1048576,3301414.732
500,openmpMergeSort,6,1,1048576,624164.304
1000,serialMergeSort,1,0,0,117134.427
1000,parallelMergeSort,6,1,1048576,2182983.203
1000,openmpMergeSort,6,1,1048576,520171.367
1,serialMergeSort,1,0,0,58.239
1,parallelMergeSort,6,1,1048576,67.476
1,openmpMergeSort,6,1,1048576,341701.151
5,serialMergeSort,1,0,0,602.654
5,parallelMergeSort,6,1,1048576,1025128.922
5,openmpMergeSort,6,1,1048576,377906.966
10,serialMergeSort,1,0,0,1221.325
10,parallelMergeSort,6,1,1048576,4246637.427
10,openmpMergeSort,6,1,1048576,690091.207
50,serialMergeSort,1,0,0,5596.643
50,parallelMergeSort,6,1,1048576,3441475.677
50,openmpMergeSort,6,1,1048576,514843.76
100,serialMergeSort,1,0,0,11712.233
100,parallelMergeSort,6,1,1048576,5092735.826
100,openmpMergeSort,6,1,1048576,415616.58
250,serialMergeSort,1,0,0,29059.53
250,parallelMergeSort,6,1,1048576,2582357.45
250,openmpMergeSort,6,1,1048576,440367.253
500,serialMergeSort,1,0,0,56551.888
500,parallelMergeSort,6,1,1048576,3890074.154
500,openmpMergeSort,6,1,1048576,453394.102
750,serialMergeSort,1,0,0,85948.669
750,parallelMergeSort,6,1,1048576,2643318.178
750,openmpMergeSort,6,1,1048576,520432.766
1000,serialMergeSort,1,0,0,114216.565
1000,parallelMergeSort,6,1,1048576,3329652.161
1000,openmpMergeSort,6,1,1048576,489766.412
