array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
1000,openmpMergeSort,8,50,1048576,621384.4
100000,serialMergeSort,1,0,0,14479825.6
100000,parallelMergeSort,8,50,1048576,5585462.2
100000,openmpMergeSort,8,50,1048576,5481611.5
1000000,serialMergeSort,1,0,0,159505036.4
1000000,parallelMergeSort,8,50,1048576,46446122.3
1000000,openmpMergeSort,8,50,1048576,47868067.6
10000000,serialMergeSort,1,0,0,1778733062.9
10000000,parallelMergeSort,8,50,1048576,425979305.4
10000000,openmpMergeSort,8,50,1048576,503079894.6
100,serialMergeSort,1,0,0,11664.4
100,parallelMergeSort,8,50,1048576,178768.7
100,openmpMergeSort,8,50,1048576,43469981.5
1000,serialMergeSort,1,0,0,111453.8
1000,parallelMergeSort,8,50,1048576,1035364.3
1000,openmpMergeSort,8,50,1048576,466505.8
10000,serialMergeSort,1,0,0,1407727.3
10000,parallelMergeSort,8,50,1048576,2211508.8
10000,openmpMergeSort,8,50,1048576,976164.6
100000,serialMergeSort,1,0,0,14622503.6
100000,parallelMergeSort,8,50,1048576,55958884.8
100000,openmpMergeSort,8,50,1048576,5364864.9
1000000,serialMergeSort,1,0,0,159117703.5
1000000,parallelMergeSort,8,50,1048576,64543430.6
1000000,openmpMergeSort,8,50,1048576,86079968.7
10000000,serialMergeSort,1,0,0,1795535856.6
10000000,parallelMergeSort,8,50,1048576,436687729.6
10000000,openmpMergeSort,8,50,1048576,472611348.8
100000000,serialMergeSort,1,0,0,19993507306.4
100000000,parallelMergeSort,8,50,1048576,4429337680.2
100000000,openmpMergeSort,8,50,1048576,4496487083.1
100,serialMergeSort,1,0,0,10600.6
100,parallelMergeSort,6,50,1048576,218991.6
100,openmpMergeSort,6,50,1048576,2639719.0
1000,serialMergeSort,1,0,0,121701.3
1000,parallelMergeSort,6,50,1048576,1029538.4
1000,openmpMergeSort,6,50,1048576,764221.4
10000,serialMergeSort,1,0,0,1325440.2
10000,parallelMergeSort,6,50,1048576,1425709.2
10000,openmpMergeSort,6,50,1048576,1368102.7
100000,serialMergeSort,1,0,0,14424227.5
100000,parallelMergeSort,6,50,1048576,11894674.0
100000,openmpMergeSort,6,50,1048576,5430175.4
1000000,serialMergeSort,1,0,0,166434618.2
1000000,parallelMergeSort,6,50,1048576,47702272.7
1000000,openmpMergeSort,6,50,1048576,53430119.7
10000000,serialMergeSort,1,0,0,1788702340.7
10000000,parallelMergeSort,6,50,1048576,428107579.3
10000000,openmpMergeSort,6,50,1048576,553163492.0
100000000,serialMergeSort,1,0,0,19575440602.3
100000000,parallelMergeSort,6,50,1048576,4481259163.8
100000000,openmpMergeSort,6,50,1048576,5800638767.9
100,serialMergeSort,1,0,0,10409.9
100,parallelMergeSort,6,10,1048576,944566.8
100,openmpMergeSort,6,10,1048576,1232134.0
1000,serialMergeSort,1,0,0,112502.7
1000,parallelMergeSort,6,10,1048576,1107089.9
1000,openmpMergeSort,6,10,1048576,734697.2
10000,serialMergeSort,1,0,0,1348425.6
10000,parallelMergeSort,6,10,1048576,1816466.9
10000,openmpMergeSort,6,10,1048576,1123763.1
100000,serialMergeSort,1,0,0,14493741.7
100000,parallelMergeSort,6,10,1048576,5551593.0
100000,openmpMergeSort,6,10,1048576,5303213.1
1000000,serialMergeSort,1,0,0,158343743.3
1000000,parallelMergeSort,6,10,1048576,45337012.2
1000000,openmpMergeSort,6,10,1048576,47699834.3
10000000,serialMergeSort,1,0,0,1761356393.0
10000000,parallelMergeSort,6,10,1048576,427334858.0
10000000,openmpMergeSort,6,10,1048576,533770522.9
100000000,serialMergeSort,1,0,0,19717854020.0
100000000,parallelMergeSort,6,10,1048576,4327054725.2
100000000,openmpMergeSort,6,10,1048576,5841574132.0
100,serialMergeSort,1,0,0,14177.1
100,parallelMergeSort,6,10,2048576,1230609.2
100,openmpMergeSort,6,10,2048576,795609.2
1000,serialMergeSort,1,0,0,126667.7
1000,parallelMergeSort,6,10,2048576,51271012.4
1000,openmpMergeSort,6,10,2048576,856491.4
10000,serialMergeSort,1,0,0,1407738.4
10000,parallelMergeSort,6,10,2048576,51963868.2
10000,openmpMergeSort,6,10,2048576,1845591.8
100000,serialMergeSort,1,0,0,14310790.4
100000,parallelMergeSort,6,10,2048576,6185063.1
100000,openmpMergeSort,6,10,2048576,5127839.9
1000000,serialMergeSort,1,0,0,157258795.2
1000000,parallelMergeSort,6,10,2048576,46452236.3
1000000,openmpMergeSort,6,10,2048576,48131293.5
10000000,serialMergeSort,1,0,0,1770753647.2
10000000,parallelMergeSort,6,10,2048576,433687984.5
10000000,openmpMergeSort,6,10,2048576,519372283.2
100000000,serialMergeSort,1,0,0,19821127358.6
100000000,parallelMergeSort,6,10,2048576,4410492996.7
100000000,openmpMergeSort,6,10,2048576,5683085518.8
100,serialMergeSort,1,0,0,10786.6
100,parallelMergeSort,6,10,8048576,1204531.6
100,openmpMergeSort,6,10,8048576,1378021.7
1000,serialMergeSort,1,0,0,115002.0
1000,parallelMergeSort,6,10,8048576,1216062.7
1000,openmpMergeSort,6,10,8048576,317432.4
10000,serialMergeSort,1,0,0,1292089.1
10000,parallelMergeSort,6,10,8048576,1659730.2
10000,openmpMergeSort,6,10,8048576,3043398.7
100000,serialMergeSort,1,0,0,14578888.3
100000,parallelMergeSort,6,10,8048576,6271144.1
100000,openmpMergeSort,6,10,8048576,5093358.0
1000000,serialMergeSort,1,0,0,160902864.5
1000000,parallelMergeSort,6,10,8048576,49170144.9
1000000,openmpMergeSort,6,10,8048576,50476204.8
10000000,serialMergeSort,1,0,0,1795519419.6
10000000,parallelMergeSort,6,10,8048576,509766349.5
10000000,openmpMergeSort,6,10,8048576,523468006.6
100000000,serialMergeSort,1,0,0,19731731519.2
100000000,parallelMergeSort,6,10,8048576,4749344192.9
100000000,openmpMergeSort,6,10,8048576,6007156715.7
100,serialMergeSort,1,0,0,11176.9
100,parallelMergeSort,6,1,1048576,1150310.2
100,openmpMergeSort,6,1,1048576,848781.1
1000,serialMergeSort,1,0,0,115547.0
1000,parallelMergeSort,6,1,1048576,1127598.8
1000,openmpMergeSort,6,1,1048576,260919.1
10000,serialMergeSort,1,0,0,1302597.9
10000,parallelMergeSort,6,1,1048576,1420664.4
10000,openmpMergeSort,6,1,1048576,943397.7
100000,serialMergeSort,1,0,0,14547401.0
100000,parallelMergeSort,6,1,1048576,6110911.6
100000,openmpMergeSort,6,1,1048576,6276210.1
1000000,serialMergeSort,1,0,0,162536999.0
1000000,parallelMergeSort,6,1,1048576,50938715.2
1000000,openmpMergeSort,6,1,1048576,93841548.4
10000000,serialMergeSort,1,0,0,1781506130.5
10000000,parallelMergeSort,6,1,1048576,506452207.8
10000000,openmpMergeSort,6,1,1048576,538404327.8
100000000,serialMergeSort,1,0,0,19626452178.2
100000000,parallelMergeSort,6,1,1048576,4714618701.5
100000000,openmpMergeSort,6,1,1048576,5624117993.5
100,serialMergeSort,1,0,0,12750.6
100,parallelMergeSort,6,1000,1048576,11227.3
100,openmpMergeSort,6,1000,1048576,2065937.1
1000,serialMergeSort,1,0,0,116824.9
1000,parallelMergeSort,6,1000,1048576,117638.5
1000,openmpMergeSort,6,1000,1048576,2702062.6
10000,serialMergeSort,1,0,0,1370795.1
10000,parallelMergeSort,6,1000,1048576,1584981.5
10000,openmpMergeSort,6,1000,1048576,1081393.8
100000,serialMergeSort,1,0,0,14634750.0
100000,parallelMergeSort,6,1000,1048576,6144267.4
100000,openmpMergeSort,6,1000,1048576,6600582.0
1000000,serialMergeSort,1,0,0,161015380.9
1000000,parallelMergeSort,6,1000,1048576,51435473.5
1000000,openmpMergeSort,6,1000,1048576,97384271.1
10000000,serialMergeSort,1,0,0,1823174401.6
10000000,parallelMergeSort,6,1000,1048576,464813622.4
10000000,openmpMergeSort,6,1000,1048576,525142027.2
100000000,serialMergeSort,1,0,0,19807862913.4
100000000,parallelMergeSort,6,1000,1048576,4707656647.2
100000000,openmpMergeSort,6,1000,1048576,5753685879.1
5,serialMergeSort,1,0,0,566.4
5,parallelMergeSort,6,1,1048576,738138.1
5,openmpMergeSort,6,1,1048576,1569861.8
10,serialMergeSort,1,0,0,1205.7
10,parallelMergeSort,6,1,1048576,1110818.1
10,openmpMergeSort,6,1,1048576,215252.4
15,serialMergeSort,1,0,0,1832.8
15,parallelMergeSort,6,1,1048576,912213.1
15,openmpMergeSort,6,1,1048576,1034001.1
20,serialMergeSort,1,0,0,2382.8
20,parallelMergeSort,6,1,1048576,1046864.5
20,openmpMergeSort,6,1,1048576,216568.9
30,serialMergeSort,1,0,0,3542.6
30,parallelMergeSort,6,1,1048576,867311.6
30,openmpMergeSort,6,1,1048576,217938.4
40,serialMergeSort,1,0,0,4471.6
40,parallelMergeSort,6,1,1048576,1199090.1
40,openmpMergeSort,6,1,1048576,1361714.7
60,serialMergeSort,1,0,0,6863.0
60,parallelMergeSort,6,1,1048576,825051.0
60,openmpMergeSort,6,1,1048576,2215775.8
80,serialMergeSort,1,0,0,8925.1
80,parallelMergeSort,6,1,1048576,862226.3
80,openmpMergeSort,6,1,1048576,2488524.9
100,serialMergeSort,1,0,0,10982.3
100,parallelMergeSort,6,1,1048576,815268.3
100,openmpMergeSort,6,1,1048576,732869.1
5,serialMergeSort,1,0,0,560.9
5,parallelMergeSort,6,1,1048576,565089.8
5,openmpMergeSort,6,1,1048576,734129.1
10,serialMergeSort,1,0,0,1198.3
10,parallelMergeSort,6,1,1048576,987762.7
10,openmpMergeSort,6,1,1048576,1051035.0
15,serialMergeSort,1,0,0,1765.9
15,parallelMergeSort,6,1,1048576,854444.3
