array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
4000000,parallelMergeSortIterative,32,1,1048576,64020138.3
4000000,tholderMergeSortIterative,8,1,1048576,72285619.2
4000000,tholderMergeSortIterative,16,1,1048576,59690834.3
4000000,tholderMergeSortIterative,32,1,1048576,58719869.6
4000000,serialMergeSortIterative,1,0,0,329506283.2
5000000,serialMergeSort,1,0,0,532689216.0
5000000,parallelMergeSort,8,1,1048576,90361448.8
5000000,parallelMergeSort,16,1,1048576,71734435.0
5000000,parallelMergeSort,32,1,1048576,63417645.8
5000000,openmpMergeSort,8,1,1048576,134911007.6
5000000,openmpMergeSort,16,1,1048576,88069503.1
5000000,openmpMergeSort,32,1,1048576,74887968.7
5000000,openmpMergeSortIterative,8,1,1048576,88225065.8
5000000,openmpMergeSortIterative,16,1,1048576,70865845.1
5000000,openmpMergeSortIterative,32,1,1048576,201168046.6
5000000,parallelMergeSortIterative,8,1,1048576,99527836.3
5000000,parallelMergeSortIterative,16,1,1048576,83760749.8
5000000,parallelMergeSortIterative,32,1,1048576,82373370.5
5000000,tholderMergeSortIterative,8,1,1048576,94712594.1
5000000,tholderMergeSortIterative,16,1,1048576,84863991.3
5000000,tholderMergeSortIterative,32,1,1048576,76501281.0
5000000,serialMergeSortIterative,1,0,0,414909960.7
6000000,serialMergeSort,1,0,0,649277690.8
6000000,parallelMergeSort,8,1,1048576,113478856.1
6000000,parallelMergeSort,16,1,1048576,83132509.8
6000000,parallelMergeSort,32,1,1048576,75109892.7
6000000,openmpMergeSort,8,1,1048576,163071535.1
6000000,openmpMergeSort,16,1,1048576,104791059.7
6000000,openmpMergeSort,32,1,1048576,89775154.7
6000000,openmpMergeSortIterative,8,1,1048576,104604963.1
6000000,openmpMergeSortIterative,16,1,1048576,84425930.0
6000000,openmpMergeSortIterative,32,1,1048576,213722010.4
6000000,parallelMergeSortIterative,8,1,1048576,116246734.8
6000000,parallelMergeSortIterative,16,1,1048576,97796779.8
6000000,parallelMergeSortIterative,32,1,1048576,94647046.5
6000000,tholderMergeSortIterative,8,1,1048576,113402707.9
6000000,tholderMergeSortIterative,16,1,1048576,99304235.8
6000000,tholderMergeSortIterative,32,1,1048576,90001988.9
6000000,serialMergeSortIterative,1,0,0,502770755.5
7000000,serialMergeSort,1,0,0,759381586.4
7000000,parallelMergeSort,8,1,1048576,127946280.8
7000000,parallelMergeSort,16,1,1048576,99515334.0
7000000,parallelMergeSort,32,1,1048576,86303750.3
7000000,openmpMergeSort,8,1,1048576,191019196.2
7000000,openmpMergeSort,16,1,1048576,123348936.0
7000000,openmpMergeSort,32,1,1048576,101164286.3
7000000,openmpMergeSortIterative,8,1,1048576,121791982.6
7000000,openmpMergeSortIterative,16,1,1048576,98567940.0
7000000,openmpMergeSortIterative,32,1,1048576,221392829.2
7000000,parallelMergeSortIterative,8,1,1048576,136294675.5
7000000,parallelMergeSortIterative,16,1,1048576,115594387.5
7000000,parallelMergeSortIterative,32,1,1048576,110068483.2
7000000,tholderMergeSortIterative,8,1,1048576,132193241.2
7000000,tholderMergeSortIterative,16,1,1048576,112226049.9
7000000,tholderMergeSortIterative,32,1,1048576,107789197.3
7000000,serialMergeSortIterative,1,0,0,598579337.7
8000000,serialMergeSort,1,0,0,876270703.8
8000000,parallelMergeSort,8,1,1048576,148798352.9
8000000,parallelMergeSort,16,1,1048576,115923417.5
8000000,parallelMergeSort,32,1,1048576,98431281.2
8000000,openmpMergeSort,8,1,1048576,220176821.9
8000000,openmpMergeSort,16,1,1048576,141254617.2
8000000,openmpMergeSort,32,1,1048576,114013363.2
8000000,openmpMergeSortIterative,8,1,1048576,136222704.8
8000000,openmpMergeSortIterative,16,1,1048576,109115028.8
8000000,openmpMergeSortIterative,32,1,1048576,234234787.0
8000000,parallelMergeSortIterative,8,1,1048576,152904432.2
8000000,parallelMergeSortIterative,16,1,1048576,127933726.8
8000000,parallelMergeSortIterative,32,1,1048576,124608828.5
8000000,tholderMergeSortIterative,8,1,1048576,147736963.2
8000000,tholderMergeSortIterative,16,1,1048576,126666099.7
8000000,tholderMergeSortIterative,32,1,1048576,121392559.6
8000000,serialMergeSortIterative,1,0,0,695952221.2
9000000,serialMergeSort,1,0,0,1022594226.1
9000000,parallelMergeSort,8,1,1048576,178866348.7
9000000,parallelMergeSort,16,1,1048576,135642508.4
9000000,parallelMergeSort,32,1,1048576,113629065.7
9000000,openmpMergeSort,8,1,1048576,255561218.2
9000000,openmpMergeSort,16,1,1048576,164767119.2
9000000,openmpMergeSort,32,1,1048576,135071552.9
9000000,openmpMergeSortIterative,8,1,1048576,170928650.1
9000000,openmpMergeSortIterative,16,1,1048576,136615797.9
9000000,openmpMergeSortIterative,32,1,1048576,258399919.9
9000000,parallelMergeSortIterative,8,1,1048576,193757978.4
9000000,parallelMergeSortIterative,16,1,1048576,156321164.4
9000000,parallelMergeSortIterative,32,1,1048576,152057974.3
9000000,tholderMergeSortIterative,8,1,1048576,183688433.8
9000000,tholderMergeSortIterative,16,1,1048576,165455457.5
9000000,tholderMergeSortIterative,32,1,1048576,150739384.1
9000000,serialMergeSortIterative,1,0,0,793483466.1
10000000,serialMergeSort,1,0,0,1143316948.2
10000000,parallelMergeSort,8,1,1048576,203373286.9
10000000,parallelMergeSort,16,1,1048576,150404428.8
10000000,parallelMergeSort,32,1,1048576,126720681.3
10000000,openmpMergeSort,8,1,1048576,283107673.9
10000000,openmpMergeSort,16,1,1048576,181852974.2
10000000,openmpMergeSort,32,1,1048576,149733195.2
10000000,openmpMergeSortIterative,8,1,1048576,186703339.3
10000000,openmpMergeSortIterative,16,1,1048576,148476507.5
